Disease,Description
panic disorder,"An anxiety disorder characterized by recurrent unexpected panic attacks, which are sudden periods of intense fear or discomfort."
vocal cord polyp,"A benign growth on the vocal cords that can cause hoarseness, voice changes, and discomfort."
turner syndrome,"A chromosomal disorder affecting females, where one of the X chromosomes is missing or partially missing, leading to various developmental issues."
cryptorchidism,"A condition in which one or both of the testes fail to descend from the abdomen into the scrotum."
poisoning due to ethylene glycol,"A potentially fatal condition resulting from ingestion of ethylene glycol, commonly found in antifreeze, leading to metabolic acidosis and kidney failure."
atrophic vaginitis,"Thinning, drying, and inflammation of the vaginal walls due to a decrease in estrogen levels, commonly occurring after menopause."
fracture of the hand,"A break in one or more of the bones in the hand, often resulting from trauma or injury."
cellulitis or abscess of mouth,"A bacterial infection causing redness, swelling, and pain in the tissues of the mouth, potentially leading to the formation of an abscess."
eye alignment disorder,"Also known as strabismus, a condition where the eyes do not properly align with each other when looking at an object."
headache after lumbar puncture,"A common complication following a lumbar puncture, characterized by a headache that worsens when standing and improves when lying down."
pyloric stenosis,"A condition in infants causing narrowing of the pylorus, the opening from the stomach to the small intestine, leading to severe vomiting."
salivary gland disorder,"Conditions affecting the salivary glands, such as infections, blockages, or tumors, leading to symptoms like dry mouth, pain, and swelling."
osteochondrosis,"A group of disorders that affect the growth of bones in children and adolescents, leading to joint pain and stiffness."
injury to the knee,"Damage to the structures of the knee, including ligaments, cartilage, or bones, often resulting from trauma or overuse."
metabolic disorder,"A condition that disrupts normal metabolism, the process of converting food to energy on a cellular level."
vaginitis,"Inflammation of the vagina that can result in discharge, itching, and pain, often caused by infection."
sick sinus syndrome,"A collection of heart rhythm disorders where the sinus node doesn't function properly, leading to irregular heartbeats."
tinnitus of unknown cause,"The perception of ringing or buzzing in the ears without an external source, with no identifiable cause."
glaucoma,"A group of eye conditions that damage the optic nerve, often due to high intraocular pressure, which can lead to vision loss."
eating disorder,"Mental health conditions characterized by unhealthy eating habits, such as anorexia nervosa or bulimia nervosa."
transient ischemic attack,"Often called a mini-stroke, it's a temporary period of symptoms similar to those of a stroke, usually lasting a few minutes to hours without causing permanent damage."
pyelonephritis,"A type of urinary tract infection that has reached the kidney, causing inflammation and potentially leading to kidney damage."
rotator cuff injury,"Damage to the rotator cuff muscles or tendons in the shoulder, leading to pain and decreased range of motion."
chronic pain disorder,"A condition where pain persists for longer than 12 weeks despite medication or treatment."
problem during pregnancy,"Any health issues arising during pregnancy that can affect the mother, the baby, or both."
liver cancer,"A type of cancer that originates in the liver cells, with hepatocellular carcinoma being the most common form."
atelectasis,"A complete or partial collapse of a lung or lobe of a lung, resulting in reduced gas exchange."
injury to the hand,"Damage to the structures of the hand, including bones, nerves, tendons, or skin, often resulting from trauma."
choledocholithiasis,"The presence of gallstones in the common bile duct, which can lead to pain, jaundice, and infection."
injury to the hip,"Damage to the hip joint or surrounding tissues, often resulting from falls or direct trauma."
cirrhosis,"A late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism."
thoracic aortic aneurysm,"A bulging or dilation in the wall of the thoracic aorta, which can lead to life-threatening rupture if not treated."
subdural hemorrhage,"Bleeding between the dura mater and the brain, often resulting from head injury."
diabetic retinopathy,"A diabetes complication that affects eyes, caused by damage to the blood vessels of the light-sensitive tissue at the back of the eye (retina)."
fibromyalgia,"A disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory, and mood issues."
ischemia of the bowel,"Also known as mesenteric ischemia, a condition where there is reduced blood flow to the intestines, causing pain and potential bowel damage."
fetal alcohol syndrome,"A condition in a child resulting from alcohol exposure during the mother's pregnancy, causing brain damage and growth problems."
peritonitis,"Inflammation of the peritoneum, the tissue lining the inner wall of the abdomen and covering abdominal organs, usually due to infection."
injury to the abdomen,"Damage to the abdominal area, which can affect internal organs, blood vessels, or muscles, often resulting from trauma."
acute pancreatitis,"A sudden inflammation of the pancreas that can be mild or life-threatening but usually subsides."
thrombophlebitis,"Inflammation of a vein due to a blood clot, often occurring in the legs."
asthma,"A condition in which a person's airways become inflamed, narrow, and swell, producing extra mucus, leading to difficulty breathing."
foreign body in the vagina,"The presence of an object in the vaginal canal that shouldn't be there, potentially causing discomfort, discharge, or infection."
restless leg syndrome,"A condition characterized by an uncontrollable urge to move the legs, usually due to an uncomfortable sensation."
emphysema,"A lung condition that causes shortness of breath due to damage to the air sacs (alveoli) in the lungs."
cysticercosis,"A parasitic tissue infection caused by larval cysts of the tapeworm Taenia solium, which can affect the brain, muscles, and other tissues."
induced abortion,"A medical procedure performed to terminate a pregnancy."
teething syndrome,"A term used to describe the symptoms associated with an infant's teeth emerging through the gums, such as irritability and gum discomfort."
infectious gastroenteritis,"Inflammation of the stomach and intestines caused by viral, bacterial, or parasitic infections, leading to symptoms like diarrhea, vomiting, and abdominal pain."
acute sinusitis,"A short-term inflammation of the sinuses, often following a cold, causing congestion, facial pain, and nasal discharge."
"Substance-Related Mental Disorder","A condition involving the misuse of substances such as alcohol or drugs, leading to significant impairment or distress."
"Postpartum Depression","A complex mix of physical, emotional, and behavioral changes that occur in some women after giving birth."
"Coronary Atherosclerosis","A condition characterized by the buildup of plaque in the coronary arteries, reducing blood flow to the heart muscle."
"Spondylitis","Inflammation of the vertebrae, often leading to pain and stiffness in the spine."
"Pituitary Adenoma","A usually benign tumor of the pituitary gland that can affect hormone levels and cause various symptoms."
"Uterine Fibroids","Noncancerous growths of the uterus that often appear during childbearing years."
"Idiopathic Nonmenstrual Bleeding","Abnormal uterine bleeding without a known cause, not associated with the menstrual cycle."
"Chalazion","A slow-growing, painless lump in the eyelid caused by blockage of a meibomian gland."
"Ovarian Torsion","A medical emergency involving the twisting of the ovary, which can cut off its blood supply."
"Retinopathy Due to High Blood Pressure","Damage to the retina caused by high blood pressure, potentially leading to vision problems."
"Vaginal Yeast Infection","A fungal infection causing irritation, discharge, and intense itchiness of the vagina and vulva."
"Mastoiditis","An infection of the mastoid bone behind the ear, often resulting from untreated middle ear infections."
"Lung Contusion","A bruise of the lung tissue caused by trauma, leading to bleeding and swelling."
"Hypertrophic Obstructive Cardiomyopathy (HOCM)","A condition where the heart muscle becomes abnormally thick, obstructing blood flow."
"Ingrown Toenail","A common condition where the corner or side of a toenail grows into the soft flesh, causing pain and swelling."
"Pulmonary Eosinophilia","An increased number of eosinophils in the lungs, often due to allergic reactions or infections."
"Corneal Disorder","Any condition that affects the cornea, leading to visual impairment or discomfort."
"Foreign Body in the Gastrointestinal Tract","The ingestion of objects that may cause obstruction or injury to the digestive system."
"Endophthalmitis","A severe inflammation of the interior of the eye, usually caused by infection."
"Intestinal Malabsorption","A condition in which the small intestine cannot absorb nutrients properly, leading to deficiencies."
"Viral Warts","Skin growths caused by the human papillomavirus (HPV), commonly appearing on hands, feet, or genitals."
"Hyperhidrosis","A condition characterized by excessive sweating beyond what is necessary for temperature regulation."
"Stroke","A medical emergency where blood flow to part of the brain is interrupted, causing brain cells to die."
"Pilonidal Cyst","A cyst that forms near the tailbone, often containing hair and skin debris, which can become infected."
"Crushing Injury","Damage to the body caused by a compressive force, leading to potential fractures, bleeding, and organ damage."
"Normal Pressure Hydrocephalus","A condition characterized by the accumulation of cerebrospinal fluid in the brain's ventricles, causing walking difficulties, dementia, and urinary incontinence."
"Alopecia","The partial or complete loss of hair from areas of the body where it normally grows."
"Hashimoto Thyroiditis","An autoimmune disorder where the immune system attacks the thyroid gland, leading to hypothyroidism."
"Flat Feet","A condition in which the arches of the feet are flattened, causing the entire sole to touch the ground."
"Nonalcoholic Liver Disease (NASH)","A liver condition characterized by fat accumulation and inflammation, not related to alcohol consumption."
"Hemarthrosis","Bleeding into a joint space, often causing swelling and pain."
"Pelvic Organ Prolapse","A condition where pelvic organs drop from their normal position due to weakening of supporting muscles."
"Fracture of the Arm","A break in one or more of the bones in the arm, often caused by trauma or injury."
"Coagulation (Bleeding) Disorder","A condition affecting the blood's ability to clot properly, leading to excessive bleeding."
"Intracranial Hemorrhage","Bleeding within the skull, which can lead to increased pressure on the brain and neurological damage."
"Hyperkalemia","A condition characterized by elevated potassium levels in the blood, which can affect heart function."
"Cornea Infection","An infection of the cornea, often caused by bacteria, viruses, fungi, or parasites."
"Abscess of the Lung","A pus-filled cavity in the lung surrounded by inflamed tissue, usually caused by infection."
"Dengue Fever","A mosquito-borne viral infection causing flu-like symptoms and, in severe cases, bleeding and shock."
"Chronic Sinusitis","A long-lasting inflammation of the sinuses, leading to congestion, pain, and nasal discharge."
"Cholesteatoma","An abnormal, noncancerous skin growth in the middle ear behind the eardrum."
"Volvulus","A twisting of the intestine that can cause obstruction and cut off blood supply, leading to tissue death."
"Injury to the Finger","Damage to the finger resulting from trauma, which can include fractures, dislocations, or lacerations."
"Poisoning Due to Analgesics","Toxic effects resulting from an overdose or adverse reaction to pain-relieving medications."
"Atrial Fibrillation","An irregular and often rapid heart rate that can increase the risk of stroke and heart disease."
"Pinworm Infection","A common intestinal parasite infection causing anal itching and discomfort."
"Urethral Valves","Congenital obstructive membranes in the male urethra that can impede urine flow."
"Open Wound of the Neck","A break in the skin or underlying tissues of the neck, often requiring medical attention to prevent complications."
"Achalasia","A rare disorder making it difficult for food and liquid to pass into the stomach due to esophageal nerve damage."
"Conductive Hearing Loss","Hearing loss caused by problems in the outer or middle ear that prevent sound from reaching the inner ear."
"Abdominal Hernia","The protrusion of an organ or tissue through an abnormal opening in the abdominal wall."
"Cerebral Palsy","A group of disorders affecting movement and muscle tone, caused by damage to the developing brain."
"Marijuana Abuse","The excessive or problematic use of marijuana, leading to potential health and social issues."
"Cryptococcosis","A fungal infection caused by Cryptococcus species, often affecting the lungs and central nervous system."
"Obesity","A condition characterized by excessive body fat, increasing the risk of various health problems."
"Indigestion","Discomfort or pain in the upper abdomen, often associated with eating or digestive issues."
"Bursitis","Inflammation of the bursae, small fluid-filled sacs that cushion bones, tendons, and muscles near joints."
"Esophageal Cancer","A malignant tumor of the esophagus, the tube connecting the throat to the stomach."
"Pulmonary Congestion","An accumulation of fluid in the lungs, often due to heart failure, leading to breathing difficulties."
juvenile rheumatoid arthritis,A chronic autoimmune disorder causing joint inflammation and stiffness in children.
actinic keratosis,"A rough, scaly patch on the skin caused by excessive sun exposure, potentially precancerous."
acute otitis media,"A bacterial or viral infection of the middle ear, often causing ear pain and fever."
astigmatism,"A common eye condition where the cornea is irregularly shaped, leading to blurred vision."
tuberous sclerosis,"A genetic disorder causing benign tumors in multiple organs, including the brain and skin."
empyema,"A collection of pus in the pleural cavity, usually due to pneumonia or lung infection."
presbyacusis,"Age-related hearing loss, typically affecting higher sound frequencies first."
neonatal jaundice,A yellow discoloration of a newborn’s skin due to high bilirubin levels.
chronic obstructive pulmonary disease (copd),"A progressive lung disease that makes breathing difficult, often due to smoking."
dislocation of the elbow,A joint injury where the bones of the elbow are displaced from their normal alignment.
spondylosis,"Age-related degeneration of the spine, leading to stiffness and pain."
herpangina,"A viral infection causing small, painful ulcers in the mouth and throat, mostly in children."
injury to the shoulder,"Damage to the shoulder joint, muscles, or ligaments due to trauma or overuse."
poisoning due to antidepressants,"Toxic effects from an overdose of antidepressant medications, potentially life-threatening."
infection of open wound,"Bacterial invasion of an exposed wound, leading to inflammation, pus, and fever."
deep vein thrombosis (dvt),"A blood clot in a deep vein, usually in the legs, which can lead to serious complications."
protein deficiency,"A condition caused by insufficient protein intake, leading to muscle loss and weakened immunity."
myoclonus,"Sudden, involuntary muscle jerks, often seen in neurological disorders."
bone spur of the calcaneous,"A bony growth on the heel bone, often causing heel pain."
von willebrand disease,A genetic bleeding disorder that affects the blood's ability to clot properly.
open wound of the back,A deep cut or laceration on the back that may require medical attention.
heart block,"A problem with the electrical signals in the heart, causing irregular heartbeats."
colonic polyp,"A small growth in the colon lining, which may develop into cancer if untreated."
magnesium deficiency,"Low magnesium levels in the body, leading to muscle cramps and fatigue."
female infertility of unknown cause,The inability to conceive without an identifiable medical reason.
pericarditis,"Inflammation of the pericardium, the sac surrounding the heart, causing chest pain."
attention deficit hyperactivity disorder (adhd),"A neurodevelopmental disorder characterized by inattention, hyperactivity, and impulsivity."
pulmonic valve disease,"A condition affecting the pulmonary valve, leading to heart circulation issues."
tietze syndrome,A rare inflammatory disorder causing chest pain due to rib cartilage swelling.
cranial nerve palsy,"Weakness or paralysis of one or more cranial nerves, affecting facial movement or sensation."
injury to the arm,"Damage to the arm’s bones, muscles, or nerves due to trauma."
conversion disorder,A mental condition where neurological symptoms appear without a medical cause.
complex regional pain syndrome,A chronic pain condition usually affecting an arm or leg after an injury.
otosclerosis,An abnormal bone growth in the ear causing hearing loss.
injury to the trunk,"Trauma affecting the torso, including ribs, spine, or abdominal organs."
hypothyroidism,"A condition where the thyroid gland does not produce enough hormones, leading to fatigue and weight gain."
primary insomnia,A sleep disorder characterized by difficulty falling or staying asleep without an underlying cause.
lice,Small parasitic insects that infest human hair and cause itching.
vitamin b12 deficiency,"A lack of vitamin B12 leading to anemia, fatigue, and nerve damage."
diabetes,A metabolic disorder where the body cannot properly regulate blood sugar levels.
vulvodynia,Chronic pain in the vulva without an identifiable cause.
endometriosis,"A disorder where tissue similar to the uterus lining grows outside the uterus, causing pain and infertility."
vasculitis,"Inflammation of the blood vessels, leading to reduced blood flow and organ damage."
concussion,A mild traumatic brain injury caused by a blow to the head.
oral leukoplakia,White patches in the mouth that may be precancerous.
chronic kidney disease,A progressive loss of kidney function over time.
bladder disorder,"Various conditions affecting bladder function, such as incontinence or infections."
chorioretinitis,"Inflammation of the choroid and retina, affecting vision."
priapism,A prolonged and painful erection unrelated to sexual arousal.
myositis,Inflammation of the muscles leading to weakness and pain.
mononucleosis,"A viral infection, often caused by Epstein-Barr virus, leading to fever, fatigue, and swollen lymph nodes."
neuralgia,"Intense, sharp pain along a nerve pathway."
polycystic kidney disease,A genetic disorder causing multiple fluid-filled cysts in the kidneys.
bipolar disorder,A mental health condition causing extreme mood swings between mania and depression.
amyloidosis,"A rare disease where abnormal protein deposits accumulate in organs, affecting their function."
chronic inflammatory demyelinating polyneuropathy (cidp),A neurological disorder causing progressive muscle weakness due to nerve damage.
"Gastroesophageal Reflux Disease (GERD)","A digestive disorder where stomach acid frequently flows back into the esophagus, causing heartburn and irritation."
"Vitreous Hemorrhage","Bleeding into the vitreous humor of the eye, leading to vision impairment or loss."
"Poisoning Due to Antimicrobial Drugs","Toxic effects caused by excessive or inappropriate use of antimicrobial medications."
"Open Wound of the Mouth","An injury causing a break in the tissue inside the mouth, often due to trauma or surgery."
"Scleroderma","A chronic autoimmune disease causing hardening and tightening of the skin and connective tissues."
"Myasthenia Gravis","A neuromuscular disorder leading to muscle weakness and fatigue due to impaired communication between nerves and muscles."
"Hypoglycemia","A condition characterized by abnormally low blood sugar levels, leading to symptoms such as confusion, dizziness, and fainting."
"Idiopathic Absence of Menstruation","The absence of menstrual periods without an identifiable cause."
"Dislocation of the Ankle","A condition where the bones in the ankle joint are displaced from their normal alignment due to trauma."
"Carbon Monoxide Poisoning","A life-threatening condition caused by inhaling carbon monoxide gas, leading to oxygen deprivation."
"Panic Attack","A sudden episode of intense fear or anxiety, accompanied by physical symptoms like rapid heartbeat, sweating, and dizziness."
"Plantar Fasciitis","Inflammation of the plantar fascia, a thick band of tissue on the bottom of the foot, causing heel pain."
"Hyperopia","A common vision condition where distant objects are seen clearly but close ones appear blurry."
"Poisoning Due to Sedatives","Toxic effects resulting from excessive consumption of sedative medications."
"Pemphigus","A rare autoimmune disorder causing painful blisters on the skin and mucous membranes."
"Peyronie Disease","A condition characterized by the development of fibrous scar tissue inside the penis, causing curved, painful erections."
"Hiatal Hernia","A condition where part of the stomach pushes up through the diaphragm into the chest cavity."
"Extrapyramidal Effect of Drugs","Involuntary muscle movements or tremors caused by certain medications affecting the nervous system."
"Meniere Disease","A disorder of the inner ear causing vertigo, tinnitus, and hearing loss."
"Anal Fissure","A small tear in the lining of the anus that can cause pain and bleeding."
"Allergy","An immune system overreaction to substances such as pollen, food, or pet dander, leading to symptoms like sneezing and rashes."
"Chronic Otitis Media","A long-term middle ear infection that can cause hearing loss and drainage."
"Fracture of the Finger","A break in one of the bones of the finger, typically caused by trauma."
"Hirschsprung Disease","A congenital condition where nerve cells are missing in parts of the colon, causing bowel obstruction."
"Polymyalgia Rheumatica","An inflammatory disorder causing muscle pain and stiffness, especially in the shoulders and hips."
"Lymphedema","Swelling caused by a blockage in the lymphatic system, often affecting the arms or legs."
"Bladder Cancer","A type of cancer that begins in the cells of the bladder, leading to symptoms like blood in the urine."
"Acute Bronchospasm","A sudden tightening of the muscles around the airways, leading to difficulty breathing."
"Acute Glaucoma","A sudden increase in intraocular pressure that can cause severe eye pain and vision loss."
"Open Wound of the Chest","A penetrating injury to the chest, often requiring medical intervention."
"Dislocation of the Patella","A condition where the kneecap slips out of its normal position, causing pain and instability."
"Sciatica","Pain radiating along the sciatic nerve, often due to a herniated disc or spinal stenosis."
"Hypercalcemia","A condition characterized by elevated calcium levels in the blood, which can cause kidney stones and bone pain."
"Stress Incontinence","The involuntary leakage of urine during activities that put pressure on the bladder, such as coughing or sneezing."
"Varicose Veins","Enlarged, twisted veins often seen in the legs due to weakened vein walls and valves."
"Benign Kidney Cyst","A noncancerous fluid-filled sac that develops in the kidney, usually asymptomatic."
"Hydrocele of the Testicle","A fluid-filled sac around a testicle, causing swelling in the scrotum."
"Degenerative Disc Disease","A condition where spinal discs deteriorate, causing pain and reduced mobility."
"Hirsutism","Excessive hair growth in women in areas where men typically grow hair, such as the face and chest."
"Dislocation of the Foot","A condition where the bones in the foot are displaced from their normal alignment due to trauma."
"Hydronephrosis","Swelling of a kidney due to a build-up of urine, often caused by a blockage."
"Diverticulosis","The formation of small pouches in the colon wall, which can sometimes become inflamed or infected."
"Pain After an Operation","Postoperative pain resulting from surgical trauma, inflammation, or nerve damage."
"Huntington Disease","A genetic neurodegenerative disorder causing movement, cognitive, and psychiatric symptoms."
"Lymphoma","A type of blood cancer affecting the lymphatic system, leading to swollen lymph nodes and fatigue."
"Dermatitis Due to Sun Exposure","Skin inflammation caused by prolonged exposure to sunlight, leading to redness and irritation."
"Anemia Due to Chronic Kidney Disease","A condition where the kidneys fail to produce enough erythropoietin, leading to reduced red blood cell production."
"Injury to Internal Organ","Damage to an organ inside the body, often due to trauma."
"Scleritis","A painful inflammation of the sclera, the white outer layer of the eye."
"Pterygium","A benign growth of tissue on the eye, often associated with UV exposure."
"Fungal Infection of the Skin","A skin infection caused by fungi, leading to itching, redness, and scaling."
"Insulin Overdose","A condition caused by excessive insulin administration, leading to dangerously low blood sugar levels."
"Syndrome of Inappropriate Secretion of ADH (SIADH)","A disorder in which the body produces too much antidiuretic hormone, causing water retention and low sodium levels."
"Foreign Body in the Ear","An object lodged in the ear canal, which can cause pain and hearing loss."
"Premenstrual Tension Syndrome","A set of physical and emotional symptoms occurring before menstruation."
"Orbital Cellulitis","A serious infection of the tissues surrounding the eye, requiring prompt medical treatment."
"Injury to the Leg","Damage to the leg due to trauma, which may involve fractures, sprains, or cuts."
"Hepatic Encephalopathy","A decline in brain function due to severe liver disease, leading to confusion and altered consciousness."
"Bone Cancer","A malignant tumor in the bone, leading to pain and swelling."
"Syringomyelia","A rare disorder where a cyst forms within the spinal cord, causing nerve damage over time."
"Pulmonary Fibrosis","A lung disease characterized by scarring and stiffening of lung tissue, leading to difficulty breathing."
"Mitral Valve Disease","A condition affecting the mitral valve of the heart, leading to improper blood flow."
"Parkinson Disease","A progressive nervous system disorder affecting movement, often causing tremors and stiffness."
"Gout","A type of arthritis caused by uric acid crystal buildup in the joints, leading to severe pain and inflammation."
otitis media,"Inflammation of the middle ear, often due to infection."
drug abuse (opioids),"Addiction to opioids, causing dependence and withdrawal symptoms."
myelodysplastic syndrome,A group of disorders caused by poorly formed or dysfunctional blood cells.
fracture of the shoulder,A break in the upper arm bone or shoulder blade due to trauma.
acute kidney injury,"Sudden kidney failure or damage, leading to waste buildup in the body."
threatened pregnancy,A pregnancy at risk of miscarriage due to complications.
intracranial abscess,A localized collection of pus within the brain due to infection.
gum disease,"Inflammation of the gums, leading to bleeding and tooth loss if untreated."
open wound from surgical incision,A surgical incision that has not healed properly and remains open.
gastrointestinal hemorrhage,"Bleeding in the gastrointestinal tract, causing vomiting blood or black stools."
seborrheic dermatitis,"A common skin condition causing scaly, flaky, and itchy skin."
drug abuse (methamphetamine),"Addiction to methamphetamine, leading to severe psychological and physical issues."
torticollis,"A twisting of the neck, leading to head tilting or jerking movements."
poisoning due to antihypertensives,Toxicity caused by excessive use of blood pressure medications.
tension headache,"A headache caused by muscle tension, stress, or poor posture."
alcohol intoxication,"A condition caused by excessive alcohol consumption, leading to confusion and nausea."
scurvy,"A disease caused by vitamin C deficiency, leading to bleeding gums and fatigue."
narcolepsy,A sleep disorder causing sudden and uncontrollable sleep attacks.
food allergy,An adverse reaction of the immune system to certain foods.
labyrinthitis,"Inflammation of the inner ear, causing dizziness and balance issues."
anxiety,"Excessive worry or fear, often interfering with daily life."
impulse control disorder,"Difficulty controlling urges, leading to impulsive behaviors."
stenosis of the tear duct,"Narrowing of the tear ducts, causing excessive tearing or infections."
abscess of nose,A localized infection causing swelling and pus formation in the nose.
omphalitis,"An infection of the umbilical stump in newborns, causing redness and swelling."
leukemia,"A cancer of the blood-forming tissues, leading to abnormal blood cell production."
bell palsy,"Sudden weakness or paralysis of facial muscles, often temporary."
conjunctivitis due to allergy,Allergic reaction causing inflammation of the conjunctiva in the eyes.
drug reaction,"An adverse reaction to medication, causing rashes, swelling, or other symptoms."
adrenal cancer,"A rare cancer of the adrenal glands, affecting hormone production."
myopia,"Nearsightedness, where distant objects appear blurry."
osteoarthritis,A degenerative joint disease causing pain and stiffness.
thyroid disease,"Disorders affecting the thyroid gland, leading to hormone imbalances."
pharyngitis,"Inflammation of the throat, causing pain and difficulty swallowing."
